dolegliwoœæ d³awicowy	ICD10:I20.9	3	9	Choroba niedokrwienna serca, nieokreœlona
dusznoœæ	ICD10:R06.0	251	254	Dusznoœæ
ko³atania serce	ICD10:R00.2	451	454	
alergia	ICD10:T78.4	154	406	Alergia, nieokreœlona
na³óg	ICD10:Z72	10	13	Problemy zwi¹zane ze stylem ¿ycia
ch niedokrwienny serce	ICD10:I25.9	2	3	Przewlek³a choroba niedokrwienna serca, nieokreœlona
nowotwór	ICD10:D48.9	4	8	Nowotwór o niepewnym lub nieznanym charakterze, nieokreœlony
lek	ICD10:Z88	1	547	Uczulenia na leki, œrodki farmakologiczne i substancje biologiczne w wywiadzie
nie przyjmowaæ	ICD10:Z91.1	1	110	Niestosowanie siê do zaleceñ i dyscypliny leczniczej w wywiadzie
wrodzony wada serce pod postaæ ubytek w przegroda przedsionkowy - komorowy	ICD10:Q21.2	8	8	Ubytek przegrody przedsionkowo-komorowej
korekcja chirurgiczny	ICD10:Z98.8	4	13	Inne okreœlone stany po zabiegach chirurgicznych
astygmatyzm	ICD10:H52.2	11	11	Astygmatyzm
zmiana guzowata w okolica pod¿uchwowej lewy do daleki diagnostyka	ICD10:D48.7	1	1	Inne okreœlone umiejscowienie
zespó³ downa	ICD10:Q90.9	70	94	Zespó³ Downa, nieokreœlony
równy praca serce	ICD10:R00.8	3	7	Inne i nieokreœlone zaburzenia rytmu serca
uczucie dusznoœæ	ICD10:R06.0	42	42	Dusznoœæ
wada wrodzony pod postaæ cav	ICD10:Q21.2	2	3	Ubytek przegrody przedsionkowo-komorowej
zespó³ dawny	ICD10:Q90.9	4	4	Zespó³ Downa, nieokreœlony
istotny niedomykalnoœæ zastawka mitralny	ICD10:I34.0	13	19	Niedomykalnoœæ zastawki mitralnej
niedoczynnoœæ tarczyca w trakt leczenie substytucyjny w stadium eutyreozy	ICD10:E03.9	1	2	Niedoczynnoœæ tarczycy, nieokreœlona
limfocytowy zapalenie jelito gruby	ICD10:K52.8	4	6	Inne okreœlone niezakaŸne zapalenia ¿o³¹dka, jelita cienkiego i okrê¿nicy
powik³any zaka¿enie clostridium difficile	ICD10:A04.7	1	1	Zapalenie jelita cienkiego i grubego wywo³ane przez Clostridium difficile
choroba tkanka ³¹czny	ICD10:M35.9	7	7	Uk³adowe choroby tkanki ³¹cznej, nieokreœlone
wada nabyæ serce pod postaæ ³agodny niedomykalnoœæ mitralny	ICD10:I34.0	3	3	Niedomykalnoœæ zastawki mitralnej
niedoczynnoœæ tarczyca	ICD10:E03.9	380	408	Niedoczynnoœæ tarczycy, nieokreœlona
zró¿nicowaæ choroba tkanka ³¹czniej	ICD10:M35.9	2	2	Uk³adowe choroby tkanki ³¹cznej, nieokreœlone
infekcja jelitowy c difficiele	ICD10:A04.7	2	3	Zapalenie jelita cienkiego i grubego wywo³ane przez Clostridium difficile
³agodny niedomykalnoœæ zastawka mitralny	ICD10:I34.0	214	218	Niedomykalnoœæ zastawki mitralnej
istotny zaburzenie rytm	ICD10:I49	1	6	Inne zaburzenia rytmu serca
ból staw	ICD10:M25.5	11	12	Ból stawu
silny zmêczenie	ICD10:R53	3	5	Z³e samopoczucie i zmêczenie
towarzyszyæ ból g³owa	ICD10:R51	3	3	Ból g³owy
os³abienie	ICD10:R53	42	69	Z³e samopoczucie i zmêczenie
paliæ	ICD10:Z72.0	168	174	U¿ywanie tytoniu
obserwacja	ICD10:I26.9	1	124	Zator p³ucny bez informacji o ostrym sercu p³ucnym
³agodny dysfunkcja skurczowy lewy komora	ICD10:I50.1	2	5	Niewydolnoœæ serca lewokomorowa
pda	ICD10:Q25.0	96	96	Dro¿ny przewód têtniczy
zw³óknienie wielotorbielowate	ICD10:E84.9	3	3	Zw³óknienie wielotorbielowate, nieokreœlone
mukowiscydoza	ICD10:E84.9	6	6	Zw³óknienie wielotorbielowate, nieokreœlone
2 krotny masywny krwioplucie	ICD10:R04.2	3	3	Krwioplucie
oko³o 500ml   krew	ICD10:R04.2	2	2	Krwioplucie
przetoka   têtniczo-¿ylne p³at górny   prawy	ICD10:I28.0	2	3	Przetoka têtniczo-¿ylna naczyñ p³ucnych
przewlek³y zapalenie zatoka	ICD10:J32.9	15	19	Przewlek³e zapalenie zatok, nieokreœlone
alergiczny   nie¿yt   nos	ICD10:J30	4	6	Naczynioruchowy i alergiczny nie¿yt nosa
s³uszczenie w¹troba	ICD10:K76.0	6	7	St³uszczenie w¹troby niesklasyfikowane gdzie indziej
hipertriglicerydemia	ICD10:E78.1	31	35	Czysta hiperglicerydemia
zespó³ tos	ICD10:G54.0	6	6	Zaburzenia splotu ramiennego
zw³óknienie   wielotorbielowatym	ICD10:E84.9	3	3	Zw³óknienie wielotorbielowate, nieokreœlone
2 krotny   masywny krwioplucie	ICD10:R04.2	2	2	Krwioplucie
oklo 500ml   krew	ICD10:R04.2	2	2	Krwioplucie
przetoka   têtniczo-¿ylnymi p³at górny   prawy	ICD10:I28.0	2	3	Przetoka têtniczo-¿ylna naczyñ p³ucnych
st³uszczniem w¹troba	ICD10:K76.0	2	3	St³uszczenie w¹troby niesklasyfikowane gdzie indziej
podejrzenie kardiomiopatia zastoinowy	ICD10:I42.0	2	2	Kardiomiopatia rozstrzeniowa
uczulenie   na lek	ICD10:Z88	3	3	Uczulenia na leki, œrodki farmakologiczne i substancje biologiczne w wywiadzie
zespó³ uciskowy górny otwór klatka piersiowy	ICD10:G54.0	3	3	Zaburzenia splotu ramiennego
i okres hemodynamiczny wed³ug nyha	ICD10:I50	2	5	Niewydolnoœæ serca
zespó³ uciskowy górny otwór latki piersiowy	ICD10:G54.0	3	3	Zaburzenia splotu ramiennego
wrodzony wada serce pod postaæ zaroœniêcia prawostronny zastawka przedsionkowo-komorowej	ICD10:Q22.4	3	3	Wrodzone zwê¿enie zastawki trójdzielnej
ubytek miêdzykomorowy miêdzyprzedsionkowym	ICD10:Q21	4	5	Wrodzone wady rozwojowe przegród serca
malpozycj¹ naczynie	ICD10:Q20.3	36	39	Nieprawid³owe po³¹czenia komorowo-têtnicze
zwê¿enie têtnica p³ucny	ICD10:Q25.6	96	138	Zwê¿enie pnia p³ucnego
prze³o¿enie trzewia	ICD10:Q89.3	3	4	U³o¿enie odwrotne
zespó³ heterotaksji ( izomeryzm prawoprzedsionkowy )	ICD10:Q20.6	2	2	Izomeria uszek przedsionków serca
operacja typ obustronny dwukierunkowy glenn	ICD10:Z98.8	1	3	Inne okreœlone stany po zabiegach chirurgicznych
operacja metoda fontana	ICD10:Z98.8	14	44	Inne okreœlone stany po zabiegach chirurgicznych
zwê¿enie prawostronny zespolenie glenna	ICD10:Z98.8	2	6	Inne okreœlone stany po zabiegach chirurgicznych
bliŸniaczy wêze³ zatokowy	ICD10:Q24.8	1	4	Inne okreœlone wrodzone wady rozwojowe serca
napad czêstoskurcz nadkomorowego	ICD10:I47.1	22	23	Czêstoskurcz nadkomorowy
somatotropinowa niedoczynnoœæ przysadka mózgowy	ICD10:E23.0	3	3	Niedoczynnoœæ przysadki
nadciœnienie p³ucny o ustaliæ etiologia	ICD10:I27.9	1	3	Zespó³ sercowo-p³ucny, nieokreœlony
niewydolnoœæ oddechowy	ICD10:J96	13	24	Niewydolnoœæ oddechowa niesklasyfikowana gdzie indziej
nawracaæ zapalenie p³uco	ICD10:J18.9	5	7	Zapalenie p³uc, nieokreœlone
dzieciêcy pora¿enie mózgowy	ICD10:G80.9	6	8	Mózgowe pora¿enie dzieciêce, nieokreœlone
rozszczep krêgos³up	ICD10:Q05.9	6	8	Rozszczep krêgos³upa, nieokreœlony
wodog³owie	ICD10:G91.9	13	17	Wodog³owie, nieokreœlone
operacja wymiana zastawka pudenza	ICD10:Z98.2	1	3	Obecnoœæ urz¹dzenia do drena¿u p³ynu mózgowo-rdzeniowego
niedro¿noœæ	ICD10:T85.6	2	5	Mechaniczne powik³anie innych okreœlonych wewnêtrznych protez, implantów i przeszczepów
podejrzenie niewydolnoœæ serce	ICD10:I50.9	1	2	Niewydolnoœæ serca, nieokreœlona
przewlek³y niewydolnoœæ oddechowy	ICD10:J96.1	17	21	Przewlek³a niewydolnoœæ oddechowa
operacja wymiar zastawka pudentzi	ICD10:Z98.2	1	3	Obecnoœæ urz¹dzenia do drena¿u p³ynu mózgowo-rdzeniowego
przewlek³y niewydolnoœæ serce z zachowaæ frakcja wyrzutowy	ICD10:I50.9	19	29	Niewydolnoœæ serca, nieokreœlona
utrwaliæ migotanie przedsionek	ICD10:I48	115	115	Migotanie i trzepotanie przedsionków
implantacja kardiostymulator sensia senior z elektroda komorowy w tryba vvir	ICD10:Z95.0	2	5	Obecnoœæ stymulatora serca
bradykardia do hr 38/min	ICD10:R00.1	2	2	Bradykardia, nieokreœlona
poronny zespó³ masy	ICD10:I45.9	6	6	Zaburzenie przewodnictwa, nieokreœlone
przewlek³y choroba wieñcowy	ICD10:I25.1	51	125	Choroba serca w przebiegu mia¿d¿ycy
pci-lad z implantacja stent metalowy	ICD10:Z95.5	1	6	Obecnoœæ implantów i przeszczepów zwi¹zanych z angioplastyk¹ wieñcow¹
oty³oœæ	ICD10:E66	170	321	Oty³oœæ
udar mózg niedokrwienny	ICD10:I63.9	7	7	Zawa³ mózgu, nieokreœlony
przewlek³y nad¿erkowy zapalenie b³ona œluzowy ¿o³¹dek	ICD10:K29.5	10	14	Przewlek³e zapalenie ¿o³¹dka, nieokreœlone
zmiana zwyrodnieniowy staw kolanowy	ICD10:M17	8	12	Gonartroza [choroba zwyrodnieniowa stawu kolanowego]
cholecystektomii	ICD10:Z98.8	71	234	Inne okreœlone stany po zabiegach chirurgicznych
panhisterektomii	ICD10:Z90.7	19	47	Nabyty brak narz¹dów p³ciowych
macica miêœniakowatej	ICD10:D25.9	11	16	Miêœniak g³adkokomórkowy macicy, umiejscowienie nieokreœlone
operacja	ICD10:Z98.8	294	988	Inne okreœlone stany po zabiegach chirurgicznych
zaæma obuoczny	ICD10:H26.9	31	41	Zaæma, nieokreœlona
neuralgia nerw trójdzielny	ICD10:G50.0	6	6	Nerwoból nerwu trójdzielnego
zespó³ depresyjny	ICD10:F33.9	11	22	Nawracaj¹ce zaburzenia depresyjne, nieokreœlone
niedos³uch lewostronny	ICD10:H90	7	13	Upoœledzenie s³uchu przewodzeniowe i czuciowo-nerwowe
szum uszny	ICD10:H93.1	18	18	Szum w uszach
nietrzymanie mocz	ICD10:R32	27	27	Nietrzymanie moczu, nieokreœlone
penicylina	ICD10:Z88.0	2	69	Uczulenie na penicylinê w wywiadzie
przewlek³¹ niewydolnoœæ serce z zachowaæ frakcja wyrzutowy	ICD10:I50.9	2	3	Niewydolnoœæ serca, nieokreœlona
przewlek³¹ choroba wieñcowy	ICD10:I25.1	8	14	Choroba serca w przebiegu mia¿d¿ycy
udar mózg	ICD10:I64	321	329	Udar mózgu, nieokreœlony jako krwotoczny lub zawa³owy
dusznoœæ przy ma³y wysi³ek fizyczny	ICD10:R06.0	4	4	Dusznoœæ
napad ko³atania serce	ICD10:R00.2	60	60	
obrzêk kk dolny	ICD10:R22	15	35	Umiejscowiony obrzêk, guzek, guz skóry i tkanki podskórnej
p > l	ICD10:R60.0	1	1	Obrzêk zlokalizowany
zaburzenie pamiêæ	ICD10:R41.3	6	13	Inne rodzaje amnezji
dr¿enie koñczyna górny	ICD10:R25.1	5	6	Dr¿enie, nieokreœlone
zawrót g³owa	ICD10:R42	368	372	Zawroty g³owy i odurzenie
choroba zwyrodnieniowy staw kolanowy	ICD10:M17	14	17	Gonartroza [choroba zwyrodnieniowa stawu kolanowego]
cholecystektomia	ICD10:Z98.8	16	75	Inne okreœlone stany po zabiegach chirurgicznych
panhisterektomia	ICD10:Z90.7	7	14	Nabyty brak narz¹dów p³ciowych
zawa³a serce	ICD10:I25.2	269	292	Przebyty zawa³ serca
operacja wrodzony wada serce	ICD10:Z98.8	6	14	Inne okreœlone stany po zabiegach chirurgicznych
vsd	ICD10:Q21.0	133	137	Ubytek przegrody miêdzykomorowej
têtniak b³oniasty czêœæ przegroda miêdzykomorowy	ICD10:I25.3	3	4	Têtniak serca
ubytek przegroda miêdzykomorowy	ICD10:Q21.0	50	51	Ubytek przegrody miêdzykomorowej
okresowy ko³atañ serce ( 1x/2-mce	ICD10:R00.2	1	1	
przebyæ operacja	ICD10:Z98	178	849	Inne stany po zabiegach chirurgicznych
inny u¿ywka : okazjonalnie	ICD10:Z72	56	85	Problemy zwi¹zane ze stylem ¿ycia
tryba ¿ycie siedzieæ	ICD10:Z72.3	1	6	Brak aktywnoœci fizycznej
wrodzony wada serce pod postaæ ubytek w przegroda miêdzykomorowy	ICD10:Q21.0	66	66	Ubytek przegrody miêdzykomorowej
operacyjny zamkniêcie	ICD10:Z98.8	6	19	Inne okreœlone stany po zabiegach chirurgicznych
ubytek w przegroda miêdzykomorowy	ICD10:Q21.0	227	228	Ubytek przegrody miêdzykomorowej
pojedynczy pobudzenie komorowy	ICD10:I49.3	96	113	
wyd³u¿ony qt	ICD10:I45.8	4	7	Inne okreœlone zaburzenia przewodnictwa
wrodzony wada serce zastawka aortalny pod postaæ ³agodny stenozy z umiarkowany niedomykalnoœæ	ICD10:Q23	3	4	Wrodzone wady rozwojowe zastawki aortalnej i zastawki mitralnej
poszerzyæ aorta wstêpowaæ do 46 milimetr	ICD10:R93.0	2	6	Nieprawid³owe wyniki diagnostycznych badañ obrazowych czaszki i g³owy, niesklasyfikowane gdzie indziej
hipercholesterolemia mieszany	ICD10:E78.2	43	46	Hiperlipidemia mieszana
wada wrodzony serce pod postaæ sa	ICD10:Q23.0	2	2	Wrodzone zwê¿enie zastawki aortalnej
tachykardia zatokowy	ICD10:R00.0	54	55	Tachykardia, nieokreœlona
ginekomastia	ICD10:N62	4	4	Przerost piersi
rozstêp	ICD10:L90.6	3	3	Rozstêpy skórne
wrodzony wada serce pod postaæ sa z ia i/ii	ICD10:Q23	1	1	Wrodzone wady rozwojowe zastawki aortalnej i zastawki mitralnej
operacja przegroda nos	ICD10:Z98.8	5	12	Inne okreœlone stany po zabiegach chirurgicznych
trzeci migda³ek	ICD10:Z98.8	1	3	Inne okreœlone stany po zabiegach chirurgicznych
alkohol okazyjnie	ICD10:Z72.1	3	3	U¿ywanie alkoholu
okresowy poranny ból w klatka piersiowy o charakter ucisk trwaæ oko³o 15 minuta	ICD10:R07.3	1	1	Inne bóle w klatce piersiowej
niski tolerancja wysi³ek	ICD10:R53	16	23	Z³e samopoczucie i zmêczenie
operacja laryngologiczny	ICD10:Z98.8	1	4	Inne okreœlone stany po zabiegach chirurgicznych
ia	ICD10:I35.1	12	16	Niedomykalnoœæ zastawki aortalnej
dysfunkcja wêze³ zatokowy	ICD10:I49.5	7	7	Zespó³ chorej zatoki
zespó³ tachykardia-bradykardia	ICD10:I49.5	10	10	Zespó³ chorej zatoki
pauza 347s	ICD10:I49.5	1	3	Zespó³ chorej zatoki
³agodny dysfunkcja rozkurczowy lk	ICD10:R94.3	2	4	Nieprawid³owe wyniki badañ czynnoœciowych uk³adu kr¹¿enia
nadciœnienie têtniczy i stopieñ wed³ug who	ICD10:I10	11	11	Nadciœnienie samoistne (pierwotne)
rozrost gruczo³ krokowy	ICD10:N40	13	13	Rozrost gruczo³u krokowego
bradykardia zatokowy	ICD10:R00.1	65	65	Bradykardia, nieokreœlona
nadkomorowymi i komorowy zaburzenie rytm serce	ICD10:I49	1	1	Inne zaburzenia rytmu serca
zabieg operacyjny	ICD10:Z98.8	23	77	Inne okreœlone stany po zabiegach chirurgicznych
przepuklina pachwinowy	ICD10:K40	14	20	Przepuklina pachwinowa
wolny czynnoœæ serce	ICD10:R00.1	3	4	Bradykardia, nieokreœlona
kamica nerkowy lewostronny	ICD10:N20.0	9	9	Kamica nerki
wrodzony wada serce - tetralogia fallota	ICD10:Q21.3	51	52	Tetralogia Fallota
korekcja ca³kowity	ICD10:Z98.8	20	72	Inne okreœlone stany po zabiegach chirurgicznych
plastyk	ICD10:Z98.8	8	29	Inne okreœlone stany po zabiegach chirurgicznych
wyciêcie	ICD10:Z98.8	17	39	Inne okreœlone stany po zabiegach chirurgicznych
naciêcie pierœcieñ zastawka têtnica p³ucny i droga odp³yw prawy komora	ICD10:Z98.8	1	2	Inne okreœlone stany po zabiegach chirurgicznych
poszerzenie droga odp³yw i pieñ têtnica p³ucny ³at¹ z w³asny osierdzie dziecko	ICD10:Z98.8	1	1	Inne okreœlone stany po zabiegach chirurgicznych
przeroœniêtych belka miêœniowy z droga odp³yw prawy komora	ICD10:Q24.3	1	3	Wrodzone zwê¿enie sto¿ka têtniczego prawej komory
przewlek³y niewydolnoœæ serce	ICD10:I50.9	69	118	Niewydolnoœæ serca, nieokreœlona
utrwaliæ blok lewy odnoga pêczek hisa	ICD10:I44.7	12	13	Blok lewej odnogi pêczka Hisa, nieokreœlony
napadowy czêstoskurcz nadkomorowy	ICD10:I47.1	52	55	Czêstoskurcz nadkomorowy
nadciœnienie p³ucny	ICD10:I27.0	64	84	Pierwotne nadciœnienie p³ucne
hiperlipidemia mieszany	ICD10:E78.2	132	135	Hiperlipidemia mieszana
mia¿d¿yca uogólniæ	ICD10:I70.9	35	36	Mia¿d¿yca uogólniona i nieokreœlona
przewlek³y choroba nerki	ICD10:N18.9	20	28	Przewlek³a niewydolnoœæ nerek, nieokreœlona
dany moczanowa	ICD10:M10	2	3	Dna moczanowa
przewlek³¹ obturacyjna choroba p³uco	ICD10:J44.9	2	3	Przewlek³a obturacyjna choroba p³uc, nieokreœlona
niedokrwistoœæ normocytarna	ICD10:D64.9	9	13	Niedokrwistoœæ, nieokreœlona
choroba wrzodowy ¿o³¹dek	ICD10:K25	66	74	Wrzód ¿o³¹dka
zaburzenie czynnoœæ w¹troba – uszkodzenie polekowy	ICD10:K71.9	3	4	Toksyczna choroba w¹troby, nieokreœlona
choroba gravesa-basedowa	ICD10:E05.0	6	6	Tyreotoksykoza z wolem rozlanym
têtniak têtnica szyjny wewnêtrzny prawy	ICD10:I72.0	7	7	Têtniak têtnicy szyjnej
pogorszenie tolerancja wysi³ek	ICD10:R53	55	91	Z³e samopoczucie i zmêczenie
dusznoœæ wysi³kowy wystêpowaæ po kilka krok	ICD10:R06.0	3	3	Dusznoœæ
okresowy ko³atania serce	ICD10:R00.2	37	37	
k³uæ ból w klatka piersiowy po lewy strona   nie zwi¹zane z wysi³ek	ICD10:R07.3	2	3	Inne bóle w klatce piersiowej
utrata przytomnoœæ	ICD10:R55	89	142	Omdlenie i zapaœæ
zaburzenie rytm serce ( pojedynczy pobudzenie komorowy i nadkomorowe	ICD10:I49	1	1	Inne zaburzenia rytmu serca
czêstoskurcz nadkomorowy	ICD10:I47.1	28	28	Czêstoskurcz nadkomorowy
lbbb	ICD10:I44.7	60	61	Blok lewej odnogi pêczka Hisa, nieokreœlony
dno moczanowy	ICD10:M10	37	59	Dna moczanowa
pochp	ICD10:J44.9	55	72	Przewlek³a obturacyjna choroba p³uc, nieokreœlona
w ³uk aorta przyœcienny skrzeplina szerokoœæ do 4 milimetr	ICD10:I74.1	1	2	Zator i zakrzep innych i nieokreœlonych odcinków aorty
przemijaæ niewydolnoœæ kr¹¿enie mózgowy	ICD10:G45.9	3	3	Przemijaj¹ce napady niedokrwienia mózgu, nieokreœlone
choroba zwyrodnieniowy krêgos³up	ICD10:M47.9	86	155	Zmiany zwyrodnieniowe krêgos³upa, nieokreœlone
cholecystektomi	ICD10:Z98.8	3	12	Inne okreœlone stany po zabiegach chirurgicznych
przepuklina brzuszny w bliŸnia pooperacyjny	ICD10:K43.9	1	3	Przepuklina brzuszna bez niedro¿noœci lub zgorzeli
rak pierœ	ICD10:C50	10	13	Nowotwór z³oœliwy piersi
zmiana skórny na twarz	ICD10:R23.8	1	3	Inne i nieokreœlone zmiany skórne
ii/iii ’ wed³ug   nyha	ICD10:I50	2	3	Niewydolnoœæ serca
z zachowaæ   frakcja wyrzutowy lewy komora serce	ICD10:I50.9	1	2	Niewydolnoœæ serca, nieokreœlona
zatorowoœæ p³ucny	ICD10:I26	34	63	Zator p³ucny
choroba niedokrwienny serce	ICD10:I25.9	147	246	Przewlek³a choroba niedokrwienna serca, nieokreœlona
izolowaæ dysfunkcja rozkurczowy lewy komora	ICD10:I50.1	9	23	Niewydolnoœæ serca lewokomorowa
2 rok temu	ICD10:I10	1	56	Nadciœnienie samoistne (pierwotne)
cukrzyca typ 2	ICD10:E11	393	398	Cukrzyca insulinoniezale¿na
¿ylak koñczyna dolny	ICD10:I83	103	166	¯ylaki koñczyn dolnych
astma oskrzelowy	ICD10:J45.9	164	240	Astma oskrzelowa, nieokreœlona
mastektomia prawostronny	ICD10:Z90.1	6	13	Nabyty brak piersi (jednej lub obu)
ca	ICD10:C50	11	29	Nowotwór z³oœliwy piersi
obrzêk limfatyczny koñczyna górny prawy	ICD10:I89.0	8	12	Obrzêk ch³onny niesklasyfikowany gdzie indziej
niedos³uch	ICD10:H90	60	81	Upoœledzenie s³uchu przewodzeniowe i czuciowo-nerwowe
nerwica	ICD10:F48.9	29	31	Zaburzenia nerwicowe, nieokreœlone
zaæma oko lewy	ICD10:H26.9	30	37	Zaæma, nieokreœlona
wó³ guzkowy	ICD10:E04.9	18	34	Wole nietoksyczne, nieokreœlone
st³uszczenie w¹troba	ICD10:K76.0	112	118	St³uszczenie w¹troby niesklasyfikowane gdzie indziej
wyprysk potnicowy	ICD10:L30.1	1	3	Potnica [pompholyx]
mêczliwoœæ	ICD10:R53	5	9	Z³e samopoczucie i zmêczenie
okresowy zawrót g³owa	ICD10:R42	8	8	Zawroty g³owy i odurzenie
zaburzenie równowaga	ICD10:R26.8	16	32	Inne i nieokreœlone zaburzenia chodu i poruszania siê
