ID	NAZWA	NAZWA_DOD	SUBSTANCJE
RPL:482	Aminomel Nephro	Preparat złożony
RPL:494	Aminoplasmal 15% E	Produkt złożony
RPL:495	Aminoplasmal Hepa 10%	Produkt złożony	Isoleucinum	L-Lysini hydrochloridum	izoleucyna L	Phenylalaninum
RPL:506	Aminosteril N-Hepa 8%	Preparat złożony
RPL:511	Amizepin	Carbamazepinum	Carbamazepinum
RPL:517	Acatar Acti Form	Phenylephrini hydrochloridum	Phenylephrini hydrochloridum
RPL:518	Zoledronic Fair-Med	Acidum zoledronicum	Acidum zoledronicum
RPL:519	Beto 200 ZK	Metoprololi succinas
RPL:520	Amoksiklav	Amoxicillinum + Acidum clavulanicum	Acidum clavulanicum	Amoxicillinum natricum
RPL:521	Amoksiklav	Amoxicillinum + Acidum clavulanicum	Acidum clavulanicum	Amoxicillinum
RPL:522	Amoksiklav	Amoxicillinum + Acidum clavulanicum	kwas klawulanowy ( w postaci potasu klawulanianu)	Amoxicillinum
RPL:527	Amol	Produkt złożony	Mentholum	Limonis aetheroleum	Menthae piperitae aetheroleum	Cinnamomi cortex	Lavandulae aetheroleum	Citronellae aetheroleum	Caryophylli aetheroleum
RPL:530	Amotaks	Amoxicillinum	Amoxicillinum
RPL:531	Amotaks	Amoxicillinum	Amoxicillinum
RPL:544	Ampicillin TZF	Ampicillinum	Ampicillinum trihydricum
RPL:546	Ampicillin TZF	Ampicillinum	Ampicillinum trihydricum
RPL:547	Ampicillin TZF	Ampicillinum	Ampicillinum trihydricum
RPL:563	Anafranil	Clomipramini hydrochloridum	Clomipramini hydrochloridum
RPL:564	Anafranil	Clomipramini hydrochloridum	Clomipramini hydrochloridum
RPL:565	Anafranil SR 75	Clomipramini hydrochloridum	Clomipramini hydrochloridum
RPL:574	Anapran	Naproxenum natricum	Naproxenum natricum
RPL:575	Anapran	Naproxenum natricum	Naproxenum natricum
RPL:580	Szczepionka tężcowa adsorbowana (T)	Vaccinum tetani adsorbatum Szczepionka przeciw tężcowi, adsorbowana	Toksoid tężcowy
RPL:583	Ancotil	Flucitosinum	Flucitosinum
RPL:585	Fertavid	Follitropinum beta	Follitropinum beta
RPL:590	Anexate	Flumazenilum	Flumazenilum
RPL:594	Rennie Antacidum	Calcii carbonas + Magnesii subcarbonas ponderosus	Magnesii subcarbonas	Calcii carbonas
RPL:600	Anticol	Disulfiramum	Disulfiramum
RPL:602	Antidral	Aluminii chloridum	Aluminii chloridum
RPL:609	Antithrombin III NF Baxalta	Antithrombinum III humanum densatum	Antithrombinum humanum III
RPL:619	Zibor	Bemiparinum natricum	Bemiparinum natricum
RPL:620	Rosuvastatin Aurobindo	Rosuvastatinum	Rosuvastatinum	Lactosum monohydricum
RPL:634	Antypot	Acidum boricum + Acidum salicylicum	Acidum boricum	Acidum salicylicum
RPL:639	Carboplatin Pfizer	Carboplatinum	Carboplatinum
RPL:645	Sulpiryd Teva	Sulpiridum	Sulpiridum
RPL:649	Apap	Paracetamolum	Paracetamolum
RPL:652	Aphtin Aflofarm	Natrii tetraboras	Borax
RPL:658	Aphtin	Natrii tetraboras	Borax
RPL:663	Aphtin	Natrii tetraboras	Sodu czteroboran
RPL:667	Aphtin	Natrii tetraboras	Borax
RPL:668	Aphtin	Natrii tetraboras	Borax
RPL:676	Apitussic	Sulfogaiacolum	Sulfogaiacolum	Natrii benzoas	Ziołomiód sosnowy
RPL:726	Aqua pro injectione Polpharma	Aqua pro iniectione	Aqua pro injectione
RPL:727	Woda do wstrzykiwań Baxter	Aqua pro iniectione	Aqua ad iniectabilia
RPL:734	Arduan	Pipecuronii bromidum	Pipecuronii bromidum
RPL:735	Arechin	Chloroquinum	Chloroquini phosphas
RPL:740	Emperin	Betahistini dihydrochloridum	Betahistini dihydrochloridum
RPL:741	Argol Essenza Balsamica	Preparat ziołowy	Melissae aetheroleum	Cinnamoni zeylanici corticis aetheroleum	Caryophylli aetheroleum	Limonis aetheroleum	Myristicae aetheroleum	Thymi aetheroleum	Coriandri aetheroleum	Menthae piperitae aetheroleum	Mentholum
RPL:743	Argosulfan	Sulfathiazolum argentum	Sulfathiazolum argentum
RPL:747	Aromatol	Preparat złożony	Citronellae aetheroleum	Caryophylli aetheroleum	Cinnamoni zeylanici corticis aetheroleum	Limonis aetheroleum	Menthae arvensis aetheroleum	Lavandulae aetheroleum	Levomentholum
RPL:759	Baneocin	Bacitracinum + Neomycinum
RPL:760	Artemisol	Produkt ziołowy	Absinthii herbae tinctura	Acidum aceticum	Ethanolum
RPL:764	Ascalcin	Acidum acetylsalicylicum + Calcii lactogluconas	Acidum acetylsalicylicum	Calcii lactogluconas
RPL:765	Ascodan	Acidum acetylsalicylicum + Codeini phosphas	Acidum acetylsalicylicum	Codeini phosphas
RPL:766	Ascofer	Ferrosi gluconas	Ferrosi gluconas
RPL:771	Asmag	Magnesii hydroaspartas	Magnesii hydroaspartas
RPL:772	Asmag forte	Magnesii hydroaspartas	Magnesii hydroaspartas
RPL:774	Aspargin	Magnesii hydrogenoaspartas + Kalii hydrogenoaspartas	Kalii hydrogenoaspartas	Magnesii hydrogenoaspartas
RPL:775	Texibax	Esomeprazolum	Esomeprazolum
RPL:780	Aspimag	Acidum acetylsalicylicum + Magnesii oxidum	Acidum acetylsalicylicum	Magnesii oxidum
RPL:783	Aspirin	Acidum acetylsalicylicum	Acidum acetylsalicylicum
RPL:784	Aspirin C	Acidum acetylsalicylicum + Acidum ascorbicum	Acidum acetylsalicylicum	Acidum ascorbicum
RPL:785	Aspirin Cardio	Acidum acetylsalicylicum	Acidum acetylsalicylicum
RPL:786	Aspirin 300	Acidum acetylsalicylicum	Acidum acetylsalicylicum
RPL:792	Asprocol	Acidum acetylsalicylicum + Glycinum	Acidum acetylsalicylicum	Glycinum
RPL:798	Glucosum 20% Fresenius	Glucosum	Glucosum
RPL:802	Atarax	Hydroxyzini hydrochloridum	Hydroxyzini hydrochloridum
RPL:803	Atarax	Hydroxyzini hydrochloridum	Hydroxyzini hydrochloridum
RPL:804	Atecortin	Oxytetracyclini hydrochloridum + Polymyxini B sulfas + Hydrocortisoni acetas	Oxytetracyclini hydrochloridum	Hydrocortisoni acetas	Polymyxini B sulfas
RPL:810	Atenolol Sanofi 25	Atenololum	Atenololum
RPL:815	Atrederm 0,025%	Tretinoinum + int-rac-alfa-Tocopherylis acetas	int-rac-alfa-Tocopherylis acetas	Tretinoinum
RPL:816	Atrederm 0,05%	Tretinoinum + Tocopheroli acetas	alfa-Tocopheroli acetas	Tretinoinum
RPL:818	Atropinum sulfuricum WZF 1%	Atropini sulfas	Atropini sulfas
RPL:820	Atrovent	Ipratropii bromidum	Ipratropii bromidum
RPL:829	Augmentin	Amoxicillinum + Acidum clavulanicum	Acidum clavulanicum	Amoxicillinum
RPL:830	Augmentin	Amoxicillinum + Acidum clavulanicum	Acidum clavulanicum	Amoxicillinum
RPL:832	Aurorix	Moclobemidum	Moclobemidum
RPL:836	Aviomarin	Dimenhydrinatum	Dimenhydrinatum
RPL:848	Neoazarina	Thymi herba pulveratum + Codeini phosphas hemihydricus	Thymi herba pulveratum	Codeini phosphas
RPL:855	Azucalen	Chamomillae anthodii extractum fluidum + Calendulae floris extractum fluidum	Chamomillae extractum	Calendulae extractum
RPL:856	Azulan	Chamomillae anthodium	Chamomillae extractum
RPL:857	Azulan Herbapol Warszawa	Chamomillae anthodii extractum	Chamomillae extractum
RPL:858	Azulan	Matricariae floris extractum fluidum	Matricariae flos
RPL:861	Babicum	Plantaginis lanceolatae folii extractum fluidum	Plantaginis lanceolatae folii extractum (1:7)
RPL:864	Baclofen Polpharma	Baclofenum	Baclofenum
RPL:867	Bactrim	Sulfamethoxazolum + Trimethoprimum	Sulfamethoxazolum	Trimethoprimum
RPL:868	Bactrim	Sulfamethoxazolum + Trimethoprimum	Sulfamethoxazolum	Trimethoprimum
RPL:869	Bactrim Forte	Sulfamethoxazolum + Trimethoprimum	Sulfamethoxazolum	Trimethoprimum
RPL:870	Bactroban	Mupirocinum	Mupirocinum
RPL:871	Bactroban	Mupirocinum	Mupirocinum
RPL:876	Bals Sulphur żel	Preparat złożony	Woda chlorkowo-sodowa (solanka)	 siarczkowa	 fluorkowa	 jodkowa
RPL:882	Balsamum Mentholi Compositum	Methylis salicylas + Mentholum	Mentholum	Methylis salicylas
RPL:883	Balsolan	Balsamum peruvianum	Balsamum peruvianum
RPL:888	Barium sulfuricum Medana	Barii sulfas	Barii sulfas
RPL:889	Batrafen	Ciclopirox olaminum	Ciclopirox olaminum
RPL:890	Batrafen	Ciclopirox olaminum	Ciclopirox olaminum
RPL:892	Batrafen	Ciclopirox olaminum	Ciclopirox olaminum
RPL:897	Debridat	Trimebutinum	Trimebutinum
RPL:915	Bellapan	Zespół alkaloidów tropanowych w przeliczeniu na Atropini sulfas (atropiny siarczan)	Zespół alkaloidów tropanowych w przeliczeniu na siarczan atropiny
RPL:916	Bellergot	Ergotamini tartras + Atropinum + Phenobarbitalum	Atropinum	Ergotamini tartras	Phenobarbitalum
RPL:924	Symquel XR	Quetiapinum	Quetiapinum
RPL:925	Bemecor	Metildigoxinum	Beta-metylodigoksyna
RPL:927	Bengay Maść Przeciwbólowa	Methylis salicylas + Mentholum	Mentholum	Methylis salicylas
RPL:932	Ibuprofen-Pabi	Ibuprofenum	Ibuprofenum
RPL:933	Benalapril 5	Enalaprili maleas	Enalaprili maleas
RPL:941	Benzacne	Benzoylis peroxidum	Benzoylis peroxydum
RPL:942	Benzacne	Benzoylis peroxidum	Benzoylis peroxydum
RPL:950	Bepanthen	Dexpanthenolum	Dexpanthenolum
RPL:953	Rivaldo	Rivastigminum	Rivastigminum
RPL:955	Bepanthen Plus	Dexpanthenolum + Chlorhexidini hydrochloridum	Chlorhexidini dihydrochloridum	Dexpanthenolum
RPL:958	Ibum	Ibuprofenum	Ibuprofenum
RPL:966	Berodual	Fenoteroli hydrobromidum + Ipratropii bromidum	Fenoteroli hydrobromidum	Ipratropii bromidum
RPL:971	Berotec N 100	Fenoteroli hydrobromidum	Fenoteroli hydrobromidum
RPL:975	Beta-Karoten Amara	Betacarotenum	Betacarotenum (E 160)
RPL:980	Betadine	Povidonum iodinatum	Povidonum iodinatum
RPL:981	Betadine	Povidonum iodinatum	Povidonum iodinatum
RPL:985	Betadine	Povidonum iodinatum	Polyvidonum iodinatum
RPL:988	Betadrin WZF	Diphenhydramini hydrochloridum + Naphazolini nitras	Diphenhydramini hydrochloridum	Naphazolini nitras
RPL:989	Betadrin	Diphenhydramini hydrochloridum + Naphazolini nitras	Diphenhydramini hydrochloridum	Naphazolini nitras
RPL:991	Betaloc	Metoprololi tartras	Metoprololi tartras
RPL:992	Symquel XR	Quetiapinum	Quetiapinum
RPL:1000	Betoptic 0,5%	Betaxololum	Betaxololi hydrochloridum
RPL:1001	Betoptic S	Betaxololum	Betaxololi hydrochloridum
RPL:1014	Bilobil	Ginkgo bilobae folii extractum	Ginkgo bilobae extractum
RPL:1032	Bioaron C	Aloe arborescentis recentis extractum fluidum + Acidum ascorbicum	Aloes arborescentis recentis extractum fluidum	Acidum ascorbicum
RPL:1033	Isoptin 40	Verapamili hydrochloridum	Verapamili hydrochloridum
RPL:1035	Biodacyna	Amikacinum	amikacyna
RPL:1036	Biodacyna	Amikacinum	amikacyna
RPL:1040	Biofuroksym	Cefuroximum	Cefuroximum natricum
RPL:1055	Bioracef	Cefuroximum	Cefuroximum axetilum
RPL:1056	Bioracef	Cefuroximum	Cefuroximum axetilum
RPL:1057	Bioracef	Cefuroximum	Cefuroximum axetilum
RPL:1059	Biosotal 40	Sotaloli hydrochloridum	Sotaloli hydrochloridum
RPL:1060	Biosotal 80	Sotaloli hydrochloridum	Sotaloli hydrochloridum
RPL:1062	Biostymina	Aloe arborescentis folii recentis extractum	Aloe arborescens extractum
RPL:1063	Biotaksym	Cefotaximum	Cefotaximum natricum
RPL:1064	Biotrakson	Ceftriaxonum	Ceftriaxonum natricum
RPL:1065	Biotum	Ceftazidimum	Ceftazidimum
RPL:1066	Biotum	Ceftazidimum	Ceftazidimum
RPL:1076	Bioxetin	Fluoxetinum	Fluoxetinum
RPL:1078	Bisacodyl GSK	Bisacodylum	Bisacodylum
RPL:1079	Bisacodyl VP	Bisacodylum	Bisacodylum
RPL:1080	Biseko	Roztwór białek surowicy ludzkiej	Białko surowicy ludzkiej
RPL:1081	Trimesolphar	Sulfamethoxazolum + Trimethoprimum	Sulfamethoxazolum	Trimethoprimum
RPL:1082	Biseptol	Sulfamethoxazolum + Trimethoprimum	Sulfamethoxazolum	Trimethoprimum
RPL:1083	Biseptol 120	Sulfamethoxazolum + Trimethoprimum	Sulfamethoxazolum	Trimethoprimum
RPL:1085	Biseptol 480	Sulfamethoxazolum + Trimethoprimum	Sulfamethoxazolum	Trimethoprimum
RPL:1087	Biseptol 960	Sulfamethoxazolum + Trimethoprimum	Sulfamethoxazolum	Trimethoprimum
RPL:1125	Bobofen fix	Chamomillae anthodium + Foeniculi fructus + Melissae folium	Chamomillae anthodium	Foeniculi fructus	Melissae folium
RPL:1129	Bonefos	Dinatrii clodronas	Dinatrii clodronas
RPL:1132	Sulpiryd Teva	Sulpiridum	Sulpiridum
RPL:1138	Atripla	Efavirenzum + Emtricitabinum + Tenofoviri disoproxil	Efavirenzum	Emtrycytabina	Dizoproksyl tenofowiru (jako fumaran)
RPL:1139	Staveran 120	Verapamili hydrochloridum	Verapamili hydrochloridum
RPL:1142	Braunovidon	Povidonum iodinatum	Polyvidonum iodinatum
RPL:1156	Prattack	Pranoprofenum	Pranoprofenum
RPL:1157	Brodacid	Acidum lacticum + Acidum salicylicum	Acidum lacticum	Acidum salicylicum
RPL:1159	Bromergon	Bromocriptinum	Bromocriptini mesylas
RPL:1166	Desloratadine Mylan	Desloratadinum	Desloratadinum
RPL:1167	Flonidan	Loratadinum
RPL:1171	Broncho-Vaxom	Produkt złożony	Szczepionka wieloważna
RPL:1180	Riluzol PMCS	Riluzolum	Riluzolum
RPL:1185	Buderhin	Budesonidum	Budesonidum
RPL:1194	Bunondol	Buprenorphinum	Buprenorphini hydrochloridum
RPL:1195	Bunondol	Buprenorphinum	Buprenorphini hydrochloridum
RPL:1196	Bunondol	Buprenorphinum	Buprenorphini hydrochloridum
RPL:1198	Bupivacainum hydrochloricum WZF 0,5%	Bupivacainum	Bupivacaini hydrochloridum
RPL:1200	Buscolysin	Hyoscini butylbromidum	Hyoscini butylbromidum
RPL:1201	Buscopan	Hyoscini butylbromidum	Hyoscini butylbromidum
RPL:1203	Butapirazol	Phenylbutazonum	Phenylbutazonum
RPL:1206	Butapirazol	Phenylbutazonum	Phenylbutazonum
RPL:1210	Wamag	Calcii glubionas + Calcii lactobionas + Magnesii lactas	Calcii glubionas	Calcii lactobionas	Magnesii lactas dihydricus
RPL:1217	Rosuvastatin Aurobindo	Rosuvastatinum	Rosuvastatinum
RPL:1221	Calcium Polfarmex	Calcii glubionas + Calcii lactobionas	Calcii glubionas	Calcii lactobionas
RPL:1223	Calcium Aflofarm (o smaku bananowym)	Calcii gluconas + Calcii lactobionas	Calcii glubionas	Calcii lactobionas
RPL:1224	Sanosvit Calcium	Calcii glubionas + Calcii lactobionas	Calcii glubionas	Calcii lactobionas
RPL:1229	Calcium dobesilate Galena	Calcii dobesilas	Calcii dobesilas
RPL:1232	Calcium gluconicum Farmapol	Calcii gluconas	Calcii gluconas
RPL:1236	Calcium pantothenicum Jelfa	Calcii pantothenas	Calcii pantothenas
RPL:1238	Calcium Resonium	Calcii polistyreni sulfonas	Sulfonianu polistyrenu sól wapniowa
RPL:1239	Calcium Hasco	Calcii glubionas + Calcii lactobionas	Calcii glubionas	Calcii lactobionas
RPL:1241	Calcium-Sandoz Forte	Calcii glubionas + Calcii carbonas	Calcii carbonas praecipitatus	Calcii lactoglubionas
RPL:1245	Calcium Sandoz + Vitamin C	Calcii glubionas + Calcii carbonas + Acidum ascorbicum	Acidum ascorbicum	Calcii carbonas praecipitatus	Calcii glubionas
RPL:1249	Calciumfolinat-Ebewe	Calcii folinas	Calcii folinas
RPL:1251	Nagietek fix	Calendulae anthodium	Calendulae anthodium
RPL:1257	Beromun	Tasonerminum	Tasonermin
RPL:1264	Cezarius	Levetiracetamum	Levetiracetamum
