icd10;text
E13.8;Inne określone postacie cukrzycy (z nieokreślonymi powikłaniami)
E13.9;Inne określone postacie cukrzycy (bez powikłań)
E14.0;Cukrzyca nieokreślona (ze śpiączką)
E14.1;Cukrzyca nieokreślona (z kwasicą ketonową)
E14.2;Cukrzyca nieokreślona (z powikłaniami nerkowymi)
E14.3;Cukrzyca nieokreślona (z powikłaniami OCzNYMI)
E14.4;Cukrzyca nieokreślona (z powikłaniami NEUROLOGICzNYMI)
E14.5;Cukrzyca nieokreślona (z powikłaniami w zAKRESIE krążenia OBwODOwEGO)
E14.6;Cukrzyca nieokreślona (z innymi określonymi powikłaniami)
E14.7;Cukrzyca nieokreślona (z wieloma powikłaniami)
E14.8;Cukrzyca nieokreślona (z nieOKREŚLONYMI powikłaniami)
E14.9;Cukrzyca nieokreślona (bez powikłań)
E15;Śpiączka hipoglikemiczna niecukrzycowa
E16.0;Polekowa hipoglikemia bez śpiączki
E16.1;Inne hipoglikemie
E16.2;Hipoglikemia, nieokreślona
E16.3;Nadmierne wydzielanie glukagonu
E16.8;Inne określone zaburzenia wydzielania wewnętrznego trzustki
E16.9;Zaburzenia wydzielania wewnętrznego trzustki, nieokreślone
E20.0;Niedoczynność przytarczyc idiopatyczna
E20.1;Rzekoma niedoczynność przytarczyc
E20.8;Niedoczynność przytarczyc, inna
E20.9;Niedoczynnośc przytarczyc, nieokreślona
E21.0;Pierwotna nadczynność przytarczyc
E21.1;Wtórna nadczynność przytarczyc, nigdzie indziej niesklasyfikowana
E21.2;Nadczynność przytarczyc, inna
E21.3;Nadczynność porzytarczyc, nieokreślona
E21.4;Inne określone choroby przytarczyc
E21.5;Choroby przytarczyc, nieokreślone
E22.0;Akromegalia i gigantyzm przysadkowy
E22.1;Hiperprolaktynemia
E22.2;Zespół niewłaściwego wydzielania hormonu antydiuretycznego
E22.8;Inna postać nadczynności przysadki
E22.9;Nadczynność przysadki, nieokreślona
E23.0;Niedoczynność przysadki
E23.1;Niedoczynność przysadki jatrogenna
E23.2;Moczówka prosta
E23.3;Zaburzenia funkcji podwzgórza, gdzie indziej niesklasyfikowane
E23.6;Inne choroby przysadki
E24.0;Choroba cushinga pochodzenia przysadkowego
E24.1;Zespół Nelsona
E24.2;Polekowy zespół cushinga
E24.3;Zespół zależny od ektopowego wydzielania ACTH
E24.4;Zespół pseudo-cushinga u alkoholików
E24.8;Zespół cushinga, inny
E24.9;Zespół cushinga, nieokreślony
E25.0;Wrodzone zespoły nadnerczowo-płciowe związane z niedoborem enzymów
E25.8;Zespoły nadnerczowo-płciowe, inne
E25.9;Zespół nadnerczowo-płciowym, nieokreślony
E26.0;Pierwotny hiperaldosteronizm
E26.1;Wtórny hiperaldosteronizm
E26.8;Inne zespoły z hiperaldosteronizmem
E26.9;Hiperaldosteronizm, nieokreślony
E27.0;Inne zespoły z nadczynnością kory nadnerczy
E27.1;Pierwotna niewydolność kory nadnerczy
E27.2;Przełom addisonoidalny
E27.3;Niedoczyność kory nadnerczy polekowa
E27.4;Inne i nieokreślone przyczyny niedoczynności kory nadnerczy
E27.5;Nadczynność rdzenia nadnerczy
E27.8;Inne określone choroby nadnerczy
E27.9;Choroby nadnerczy, nieokreślone
E28.0;Nadmiar estrogenów [hiperestrogenizm]
E28.1;Nadmiar androgenów [hiperandrogenizm]
E28.2;Zespół policystycznych jajników
E28.3;Pierwotna niewydolność jajników
E28.8;Inne zaburzenia czynności jajników
E28.9;Zaburzenie czynności jajników, nieokreślone
E29.0;Nadczynność jąder
E29.1;Niedoczynność jąder
E29.8;Inne zaburzenia czynności jąder
E29.9;Zaburzenia czynności jąder, nieokreślone
E30.0;Opóźnione pokwitanie
E30.1;Przedwczesne pokwitanie
E30.8;Inne zaburzenia pokwitania
E30.9;Zaburzenia pokwitania, nieokreślone
E31.0;Wielogruczołowa niewydolność autoimmunologiczna
E31.1;Wielogruczołowa nadczynność
E31.8;Inne zaburzenia wielogruczołowe
E31.9;Wielogruczołowe zaburzenia, nieokreślone
E32.0;Utrzymujący się przerost grasicy
E32.1;Ropień grasicy
E32.8;Inne choroby grasicy
E32.9;Choroby grasicy, nieokreślone
E34.0;Zespół rakowiaka
E34.1;Inne nadmierne wydzielanie hormonów pochodzenia jelitowego
E34.2;Ektopowe wydzielanie hormonów, gdzie indziej niesklasyfikowane
E34.3;Karłowatość, gdzie indziej niesklasyfikowana
E34.4;Konstytucjonalny wysoki wzrost
E34.5;Zespół oporności androgennej
E34.8;Inne określone zaburzenia wewnątrzwydzielnicze
E34.9;Zaburzenia wewnątrzwydzielnicze, nieokreślone
E35.0;* Zaburzenia czynności tarczycy w schorzeniach gdzie indziej niesklasyfikowanych
E35.1;* Zaburzenia czynności nadnerczy w schorzeniach gdzie indziej niesklasyfikowanych
E35.8;* Inne zaburzenia gruczołów wydzielania wewnętrznego w schorzeniach gdzie indziej niesklasyfikowanych
E40;Kwashiorkor
E41;Wyniszczenie z niedożywienia
E42;Kwashiorkor z wyniszczeniem
E43;Ciężkie niedożywienie białkowo-energetyczne, nieokreślone
E44.0;Niedożywienie białkowo-energetyczne, umiarkowane
E44.1;Niedożywienie białkowo-energetyczne łagodne
E45;Opóźniony rozwój będący następstwem niedożywienia białkowo-energetycznego
E46;Niedożywienie białkowo-energetyczne, nieokreślone
E50.0;Niedobor witaminy a z suchością spojówek
E50.1;Niedobór witaminy a z plamkami bitota i suchością spojówek
E50.2;Niedobór witaminy a z suchością rogówek
E50.3;Niedobór witaminy a z owrzodzeniem rogówki i suchością rogówek
E50.4;Niedobór witaminy a z keratomalacją
E50.5;Niedobor witaminy a ze ślepotą nocną (kurzą, zmierzchowa)
E50.6;Niedobór witaminy a z bliznami na skutek suchości rogówek
E50.7;Inne cechy oczne niedoboru witaminy a
E50.8;Inne objawy niedoboru witamaminy a
E50.9;Niedobór witaminy a, nieokreślony
E51.1;Beri-beri
E51.2;Encefalopatia Wernickiego
E51.8;Inne objawy niedoboru tiaminy
E51.9;Niedobór tiaminy, nieokreślony
E52;Niedobór niacyny [pellagra]
E53.0;Niedobór ryboflawiny
E53.1;Niedobór pirydoksyny
E53.8;Niedobór innych określonych witamin z grupy b
E53.9;Niedobór witamin z grupy b, nieokreślony
E54;Niedobór kwasu askorbinowego
E55.0;Krzywica, czynna
E55.9;Niedobór witaminy d, nieokreślony
E56.0;Niedobór witaminy e
E56.1;Niedobór witaminy k
E56.8;Niedobory innych witamin
E56.9;Niedobór witamin, nieokreślony
E58;Niedobór pokarmowy wapnia
E59;Niedobór pokarmowy selenu
E60;Niedobór pokarmowy cynku
E61.0;Niedobór miedzi
E61.1;Niedobór żelaza
E61.2;Niedobór magnezu
E61.3;Niedobór manganu
E61.4;Niedobór chromu
E61.5;Niedobór molibdenu
E61.6;Niedobór wanadu
E61.7;Niedobór wielu elementów pokarmowych
E61.8;Niedobór innych określonych elementów pokarmowych
E61.9;Niedobór innych elementów pokarmowych, nieokreślony
E63.0;Niedobory niezbędnych kwasów tłuszczowych [efa]
E63.1;Zaburzenie bilansu składników pokarmowych
E63.8;Inne określone niedobory pokarmowe
E63.9;Inne niedobory pokarmowe, nieokreślone
E64.0;Następstwa niedoborów białkowo-energetycznych
E64.1;Następstwa niedoboru witaminy a
E64.2;Następstwa niedoboru witaminy c
E64.3;Następstwa krzywicy
E64.8;Następstwa innych niedoborów pokarmowych
E64.9;Inne nieokreślone niedobory pokarmowe
E65;Otyłość miejscowa
E66.0;Otyłość spowodowana nadmierną podażą energii
E66.1;Otyłość polekowa
E66.2;Ciężka otyłość z hipowentylacją pęcherzykową
E66.8;Inne postacie otyłości
E66.9;Otyłość, nieokreślona
E67.0;Hiperwitaminoza a
E67.1;Hiperkarotynemia
E67.2;Zespół przedawkowania witaminy b6
E67.3;Hiperwitaminoza d
E67.8;Inne określone hiperalimentacje
E70.0;Klasyczna fenyloketonuria
E70.1;Inne hyperfenyloalaninemie
E70.2;Zaburzenia przemian tyrozyny
E70.3;Bielactwo [albinizm]
E70.8;Inne zaburzenia metabolizmu aminokwasów aromatycznych
E70.9;Zaburzenia przemian aminokwasów aromatycznych, nieokreślone
E71.0;Choroba syropu klonowego
E71.1;Inne zaburzenia metabolizmu aminokwasów rozgałęzionych
E71.2;Zaburzenia przemiany aminokwasów rozgałęzionych, nieokreślone
E71.3;Zaburzenia przemian kwasów tłuszczowych
E72.0;Zaburzenia transportu aminokwasów
E72.1;Zaburzenia przemian aminokwasów zawierających siarkę
E72.2;Zaburzenia przemian cyklu mocznikowego
E72.3;Zaburzenia metabolizmu lizyny i hydroksylizyny
E72.4;Zaburzenia metabolizmu ornityny
E72.5;Zaburzenia przemian glicyny
E72.8;Inne określone zaburzenia przemian aminokwasów
E72.9;Zaburzenia przemian aminokwasów, nieokreślone
E73.0;Wrodzony niedobór laktazy
E73.1;Wtórny niedobór laktazy
E73.8;Inna nietolerancja laktozy
E73.9;Nietolerancja laktozy, nieokreślona
E74.0;Choroba spichrzeniowa glikogenu
E74.1;Zaburzenia przemian fruktozy
E74.2;Zaburzenia metabolizmu galaktozy
E74.3;Inne zaburzenia wchłaniania jelitowego węglowodanów
E74.4;Zaburzenia przemiany pirogronianu i glukoneogenezy
E74.8;Inne określone zaburzenia metabolizmu węglowodanów
E74.9;Zaburzenia przemiany węglowodanów, nieokreślone
E75.0;Gm2 gangliozydoza
E75.1;Inne gangliozydozy
E75.2;Inne sfingolipidozy
E75.3;Sfingolipidoza, nieokreślona
E75.4;Lipofuscynoza neuronalna
E75.5;Inne zaburzenia spichrzania lipidów
E75.6;Zaburzenia spichrzania lipidów, nieokreślone
E76.0;Mukopolisacharydoza, typ i
E76.1;Mukopolisacharydoza, typ ii
E76.2;Inne mukopolisacharydozy
E76.3;Mukopolisacharozy, nieokreślone
E76.8;Inne zaburzenia przemiany glikozoaminoglikanów
E76.9;Zaburzenia przemiany glikozoaminoglikanów, nieokreślone
E77.0;Zaburzenia post-translacyjnej modyfikacji enzymów lizosomalnych
E77.1;Zaburzenia degradacji glikoprotein
E77.8;Inne zaburzenia przemiany glikoprotein
E77.9;Zaburzenia przemian glikoprotein, nieokreślone
E78.0;Czysta hypercholesterolemia
E78.1;Czysta hyperglicerydemia
E78.2;Hyperlipidemia mieszana
E78.3;Hyperchylomikronemia
E78.4;Inne hyperlipidemie
E78.5;Niedobór lipoprotein
E78.8;Inne zaburzenia przemian lipidów
E78.9;Zaburzenia przemian lipidów, nieokreślone
E79.0;Hiperurikemia bez objawów zapalenia stawów i obecności guzków dnawych
E79.1;Zespól lesch-nyhana
E79.8;Inne zaburzenia przemian puryn i pirymidyn
E79.9;Zaburzenia przemiany puryn i pirymidyn, nieokreślone
E80.0;Porfiria erytropoetyczna dziedziczna
E80.1;Porfiria skórna, późna
E80.2;Porfirie inne
E80.3;Defekty katalazy i peroksydazy
E80.4;Zespół Gilberta
E80.5;Zespół Crigler-Najjara
E80.6;Zaburzenia przemian bilirubiny, inne
E80.7;Zaburzenia przemian bilirubiny, nieokreślone
E83.0;Zaburzenia przemian miedzi
E83.1;Zaburzenia przemiany żelaza
E83.2;Zaburzenia przemian cynku
E83.3;Zaburzenia przemian fosforu
E83.4;Zaburzenia przemian magnezu
E83.5;Zaburzenia przemian wapnia
E83.8;Inne zaburzenia przemiany mineralnej
E83.9;Zaburzenia przemiany mineralnej, nieokreślone
E84.0;Zwłóknienie wielotorbielowate z objawami płucnymi [postać płucna]
E84.1;Zwłóknienie wielotorbielowate z objawami jelitowymi [postać brzuszna]
E84.8;Zwłóknienie wielotorbielowate z innymi objawami
E84.9;Zwłóknienie wielotorbielowate, nieokreślone
E85.0;Skrobiawice układowe dziedziczne lub rodzinne, postać nie-neuropatyczna:
E85.1;Skrobiawica układowa dziedziczna lub rodzinna, postać neuropatyczna
E85.2;Skrobiawica układowa dziedziczna lub rodzinna, nieokreślona
E85.3;Wtórne amyloidozy narządowe
E85.4;Zlokalizowane (narządowe) odkładanie się mas skrobiowatych
E85.8;Inne amyloidozy
E85.9;Amyloidoza, nieokreślona
E86;Nadmierna utrata płynów
E87.0;Hiperosmolarność i hiponatremia
E87.1;Hipoosmolarność i hiponatremia
E87.2;Kwasica
E87.3;Alkaloza
E87.4;Mieszane zaburzenia równowagi kwasowo-zasadowej
E87.5;Hiperkaliemia
E87.6;Hipokaliemia
E87.7;Nadmiar płynu
E87.8;Inne zaburzenia równowagi elektrolitowej i płynowej, niesklasyfikowane gdzie indziej
E88.0;Zaburzenia przemian białek osocza niesklasyfikowane gdzie indziej
E88.1;Lipodystrofia, niesklasyfikowana gdzie indziej
E88.2;Lipomatoza, niesklasyfikowana gdzie indziej
E88.8;Inne określone zaburzenia metaboliczne
E88.9;Zaburzenia metaboliczne, nieokreślone
E89.0;Niedoczynność tarczycy po zabiegach
E89.1;Hipoinsulinemia po zabiegach
E89.2;Niedoczynność przytarczyc po zabiegach
E89.3;Niedoczynność przysadki po zabiegach
E89.4;Niedoczynność jajników po zabiegach
E89.5;Niedoczynność jąder po zabiegach
E89.6;Niedoczynność kory (rdzenia) nadnerczy po zabiegach
E89.8;Inne zaburzenia wydzielania wewnętrznego i metaboliczne
E89.9;Zaburzenia wydzielania wewnętrznego i metaboliczne, nieokreślone
E90;Zaburzenia odżywiania i metaboliczne w chorobach gdzie indziej niesklasyfikowanych
G00.0;Zapalenie opon mózgowych wywołane przez Hamoephilus influenzae
G00.1;Zapalenie opon mózgowych pneumokokowe
G00.2;Zapalenie opon mózgowych paciorkowcowe
G00.3;Zapalenie opon mózgowych gronkowcowe
G00.8;Inne bakteryjne zapalenia opon mózgowych
G00.9;Bakteryjne zapalenie opon mózgowych, nieokreślone
G01;Zapalenie opon mózgowych w chorobach bakteryjnych sklasyfikowanych gdzie indziej
G02.0;Zapalenie opon mózgowych w chorobach wirusowych sklasyfikowanych gdzie indziej
G02.1;Zapalenie opon mózgowych w grzybicach
G02.8;Zapalenie opon mózgowych w innych określonych chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
G03.0;Nieropne zapalenie opon mózgowych
G03.1;Przewlekłe zapalenie opon mózgowych
G03.2;Łagodne nawrotowe zapalenie opon mózgowych [mollareta]
G03.8;Zapalenie opon mózgowych wywołane przez inne określone czynniki
G03.9;Zapalenie opon mózgowych, nieokreślone
G04.0;Ostre rozsiane zapalenie mózgu
G04.1;Tropikalne kurczowe porażenie kończyn dolnych
G04.2;Bakteryjne zapalenie opon mózgowych i mózgu oraz zapalenie opon mózgowych i rdzenia niesklasyfikowane gdzie indziej
G04.8;Inne zapalenia mózgu, rdzenia kręgowego oraz rdzenia kręgowego i mózgu
G04.9;Zapalenie mózgu oraz zapalenie mózgu i rdzenia kręgowego, nieokreślone
G05.0;Zapalenie mózgu, zapalenie rdzenia kręgowego oraz zapalenie mózgu i rdzenia kręgowego w chorobach bakteryjnych sklasyfikowanych gdzie indziej
G05.1;Zapalenie mózgu, zapalenie rdzenia kręgowego oraz zapalenie mózgu i rdzenia kręgowego w chorobach wirusowych sklasyfikowanych gdzie indziej
G05.2;Zapalenie mózgu, zapalenie rdzenia kręgowego oraz zapalenie mózgu i rdzenia kręgowego w innych chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
G05.8;Zapalenie mózgu, zapalenie rdzenia kręgowego oraz zapalenie mózgu i rdzenia kręgowego w innych chorobach sklasyfikowanych gdzie indziej
G06.0;Ropień i ziarniniak śródczaszkowy
G06.1;Ropień i ziarniniak w kanale kręgowym
G06.2;Zewnątrztwardówkowy i podtwardówkowy ropień, nieokreślony
G07;Ropień i ziarniniak śródczaszkowy i w kanale kręgowym w chorobach sklasyfikowanych gdzie indziej
G08;Zapalenie żył i zakrzepowe zapalenie żył śródczaszkowych i w kanale kręgowym
G10;Choroba huntingtona
G11.0;Bezład wrodzony niepostępujący
G11.1;Bezład móżdżkowy o wczesnym początku
G11.2;Bezład móżdżkowy o późnym początku
G11.3;Bezład móżdżkowy z wadliwym systemem naprawy dna
G11.4;Dziedziczne kurczowe porażenie kończyn dolnych
G11.8;Inne bezłady dziedziczne
G11.9;Bezład dziedziczny, nieokreślony
G12.0;Zanik mięśni pochodzenia rdzeniowego dziecięcy, typu i [werdniga-hoffmana]
G12.1;Inne dziedziczne zaniki mięśni pochodzenia rdzeniowego
G12.2;Stwardnienie boczne zanikowe
G12.8;Inne zaniki mięśni pochodzenia rdzeniowego i zespoły pokrewne
G12.9;Zanik mięśni pochodzenia rdzeniowego, nieokreślony
G13.0;Paranowotworowa neuromiopatia i neuropatia
G13.1;Inne zaniki układowe pierwotnie zajmujące układ nerwowy w chorobie nowotworowej
G13.2;Zanik układowy pierwotnie zajmujący układ nerwowy w niedoczynności tarczycy (e00.1+, e03.-+)
G13.8;Zanik układowy pierwotnie zajmujący układ nerwowy w innych chorobach sklasyfikowanych gdzie indziej
G20;Choroba parkinsona
G21.0;Złośliwy zespół neuroleptyczny
G21.1;Parkinsonizm wtórny wywołany innymi lekami
G21.2;Parkinsonizm wtórny wywołany innymi czynnikami zewnętrznymi
G21.3;Parkinsonizm po zapaleniu mózgu
G21.8;Inny parkinsonizm wtórny
G21.9;Parkinsonizm wtórny, nieokreślony
G22;Parkinsonizm w chorobach sklasyfikowanych gdzie indziej parkinsonizm kiłowy (a52.1+)
G23.0;Choroba Hellervordena-Spatza
G23.1;Postępujące ponadjądrowe porażenie mięśni oka [steela-richardsona-olszewskiego]
G23.2;Zwyrodnienie prążkowia i istoty czarnej [striatonigralis degeneratio]
G23.8;Inne określone choroby zwyrodnieniowe jąder podstawy
G24.0;Dystonia wywołana przez leki
G24.1;Dystonia samoistna rodzinna
G24.2;Dystonia samoistna niedziedziczna
G24.3;Kurczowy kręcz karku
G24.4;Dystonia samoistna w obrębie twarzy
G24.5;Kurcz powiek
G24.8;Inne dystonie
G24.9;Dystonia, nieokreślona
G25.0;Drżenie samoistne
G25.1;Drżenie polekowe
G25.2;Inne określone formy drżenia
G25.3;Mioklonia
G25.4;Pląsawica polekowa
G25.5;Inna pląsawica
G25.6;Polekowe i inne tiki pochodzenia organicznego
G25.8;Inne określone zaburzenia pozapiramidowe i zaburzenia czynności ruchowych
G25.9;Zaburzenia pozapiramidowe i zaburzenia czynności ruchowych, nieokreślone
G26;Zaburzenia pozapiramidowe i zaburzenia czynności ruchowych w chorobach sklasyfikowanych gdzie indziej
G30.0;Choroba alzheimera o wczesnym początku
G30.1;Choroba alzheimera o późnym początku
G30.8;Otępienie typu alzheimerowskiego
G30.9;Choroba alzheimera, nieokreślona
G31.0;Zanik mózgu ograniczony
G31.1;Starcze zwyrodnienie mózgu niesklasyfikowane gdzie indziej
G31.2;Zwyrodnienie układu nerwowego wywołane przez alkohol
G31.8;Inne określone choroby zwyrodnieniowe układu nerwowego
G31.9;Choroby zwyrodnieniowe układu nerwowego, nieokreślone
G32.0;Podostre złożone zwyrodnienie rdzenia kręgowego w chorobach sklasyfikowanych gdzie indziej
G32.8;Inne określone zaburzenia zwyrodnieniowe układu nerwowego występujące w chorobach sklasyfikowanych gdzie indziej
G35;Stwardnienie rozsiane
G36.0;Zapalenie rdzenia i nerwów wzrokowych [zespół devica]
G36.1;Ostre i podostre krwotoczne zapalenie istoty białej mózgu [hursta]
G36.8;Inne określone ostre rozsiane demielinizacje
G36.9;Ostre rozsiane demielinizacje, nieokreślone
G37.0;Stwardnienie rozlane
G37.1;Środkowa demielinizacja ciała modzelowatego
G37.2;Mielinoliza środkowa mostu
G37.3;Ostre poprzeczne zapalenie rdzenia w chorobie demielinizacyjnej ośrodkowego układu nerwowego
G37.4;Podostre martwiejące zapalenie rdzenia
G37.5;Stwardnienie koncentryczne [baló]
G37.8;Inne określone choroby demielinizacyjne ośrodkowego układu nerwowego
G37.9;Choroby demielinizacyjne ośrodkowego układu nerwowego, nieokreślone
G40.0;Padaczka samoistna (ogniskowa) (częściowa) i zespoły padaczkowe z napadami o zlokalizowanym początku
G40.1;Padaczka objawowa (ogniskowa) (częściowa) i zespoły padaczkowe z prostymi napadami częściowymi
G40.2;Padaczka objawowa (ogniskowa) (częściowa) i zespoły padaczkowe ze złożonymi napadami częściowymi
G40.3;Uogólniona samoistna padaczka i zespoły padaczkowe
G40.4;Inne postacie uogólnionej padaczki i zespołów padaczkowych
G40.5;Szczególne zespoły padaczkowe
G40.6;Napady grand mal, nieokreślone, (z lub bez napadów petit mal)
G40.7;Petit mal, nieokreślone, bez napadów grand mal
G40.8;Inne padaczki
G40.9;Padaczka, nieokreślona
G41.0;Stan padaczkowy typu grand mal
G41.1;Stan padaczkowy typu petit mal
G41.2;Złożony częściowy stan padaczkowy
G41.8;Inne stany padaczkowe
G41.9;Stan padaczkowy, nieokreślony
G43.0;Migrena bez aury [migrena prosta]
G43.1;Migrena z aurą [migrena klasyczna]
G43.2;Stan migrenowy
G43.3;Migrena powikłana
G43.8;Inne migreny
G43.9;Migrena, nieokreślona
G44.0;Zespół bólu głowy hortona [cluster headache syndrome]
G44.1;Naczyniowy ból głowy niesklasyfikowany gdzie indziej
G44.2;Ból głowy typu uciskowego
G44.3;Przewlekły pourazowy ból głowy
G44.4;Polekowy ból głowy niesklasyfikowany gdzie indziej
G44.8;Inne określone zespoły bólu głowy
G45.0;Zespół tętnicy kręgowo-podstawnej
G45.1;Zespół tętnicy szyjnej (półkulowy)
G45.2;Mnogie i obustronne zespoły tętnic przedmózgowych
G45.3;Przejściowe objawy ślepoty [amaurosis fugax]
G45.4;Przemijająca niepamięć całkowita
G45.6;Inne przemijające mózgowe napady niedokrwienia i zespoły pokrewne
G45.9;Przemijające mózgowe napady niedokrwienia, nieokreślone
G46.0;* Zespół tętnicy środkowej mózgu (I66.0+)
G46.1;* Zespół tętnicy przedniej mózgu (I66.1+)
G46.2;* Zespół tętnicy tylnej mózgu (I66.2+)
G46.3;* Zespół udarowy pnia mózgu (I60-I67+)
G46.4;* Zespół udarowy móżdżku (I60-I67+)
G46.5;* Stan zatokowy z zespołem czysto ruchowym (I60-I67+)
G46.6;* Stan zatokowy z zespołem czysto czuciowym (I60-I67+)
G46.7;* Stan zatokowy z innymi zespołami (I60-I67+)
G46.8;* Inne zespoły naczyniowe mózgu w chorobach naczyń mózgowych (I60-I67+)
G47.1;Zaburzenia z nadmierną sennością [hypersomnia]
G47.3;Bezdech senny
G47.4;Narkolepsja i katalepsja
G50.0;Neuralgia nerwu trójdzielnego
G50.1;Bóle twarzy nietypowe
G50.8;Inne zaburzenia nerwu trójdzielnego
G50.9;Zaburzenia nerwu trójdzielnego, nieokreślone
G51.0;Obwodowe porażenie nerwu twarzowego [porażenie Bella]
G51.1;Zapalenie zwoju kolanka
G51.2;Zespół Melkerssona
G51.3;Przewlekły skurcz połowy twarzy
G51.4;Miokimia twarzowa
G51.8;Inne zaburzenia nerwu twarzowego
G51.9;Zaburzenia nerwu twarzowego, nieokreślone
